series id,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
LNU07400000,LNU07400000,2024-12-11,2024-12-11,Labor Force Flows Employed to Unemployed,1990-02-01,2024-11-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-12-06 07:47:46-06:00,4,"This series is from the Current Population Survey (Household Survey) conducted by the Bureau of Labor Statistics. Labor force flows show the movements that underlie the net over-the-month changes in employment, unemployment, or not in the labor force."
UTURN,UTURN,2024-12-11,2024-12-11,Unemployment Rate in Utah,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:49:17-06:00,8,
INUR,INUR,2024-12-11,2024-12-11,Unemployment Rate in Indiana,1976-01-01,2024-10-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-11-20 10:50:10-06:00,26,
LNS13023653,LNS13023653,2024-12-11,2024-12-11,Unemployment Level - Job Losers on Layoff,1967-01-01,2024-11-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-12-06 07:47:22-06:00,26,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS13023653
LAUR,LAUR,2024-12-11,2024-12-11,Unemployment Rate in Louisiana,1976-01-01,2024-10-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-11-20 10:50:07-06:00,25,
MOURN,MOURN,2024-12-11,2024-12-11,Unemployment Rate in Missouri,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:50:18-06:00,5,
LRUNTTTTKRQ156S,LRUNTTTTKRQ156S,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Korea,1990-01-01,2024-07-01,Quarterly,Q,Percent,%,Seasonally Adjusted,SA,2024-11-15 13:46:03-06:00,4,"OECD Data Filters:  REF_AREA: KOR MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: Y SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: Q  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
LRUNTTTTKRA156S,LRUNTTTTKRA156S,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Korea,1989-01-01,2023-01-01,Annual,A,Percent,%,Seasonally Adjusted,SA,2024-04-10 11:21:03-05:00,4,"OECD Data Filters:  REF_AREA: KOR MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: Y SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: A  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
IAURN,IAURN,2024-12-11,2024-12-11,Unemployment Rate in Iowa,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:50:20-06:00,4,
HIUR,HIUR,2024-12-11,2024-12-11,Unemployment Rate in Hawaii,1976-01-01,2024-10-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-11-20 10:50:12-06:00,23,
OKURN,OKURN,2024-12-11,2024-12-11,Unemployment Rate in Oklahoma,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:50:23-06:00,3,
AKURN,AKURN,2024-12-11,2024-12-11,Unemployment Rate in Alaska,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:50:21-06:00,3,
DETR826URN,DETR826URN,2024-12-11,2024-12-11,"Unemployment Rate in Detroit-Warren-Dearborn, MI (MSA)",1990-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-27 10:28:02-06:00,22,
LRUNTTTTKRA156N,LRUNTTTTKRA156N,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Korea,1989-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-04-10 11:43:03-05:00,2,"OECD Data Filters:  REF_AREA: KOR MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: N SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: A  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
LRUNTTTTKRM156N,LRUNTTTTKRM156N,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Korea,1989-01-01,2024-09-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-15 13:53:13-06:00,2,"OECD Data Filters:  REF_AREA: KOR MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: N SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: M  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
LRUNTTTTKRQ156N,LRUNTTTTKRQ156N,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Korea,1989-01-01,2024-07-01,Quarterly,Q,Percent,%,Not Seasonally Adjusted,NSA,2024-11-15 13:46:03-06:00,2,"OECD Data Filters:  REF_AREA: KOR MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: N SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: Q  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
LRUNTTTTMXM156S,LRUNTTTTMXM156S,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Mexico,1987-01-01,2009-12-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-04-10 11:09:05-05:00,20,"OECD Data Filters:  REF_AREA: MEX MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: Y SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: M  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
LAUST220000000000003A,LAUST220000000000003A,2024-12-11,2024-12-11,Unemployment Rate in Louisiana,1976-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-03-01 10:20:03-06:00,6,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
PAPHIL5URN,PAPHIL5URN,2024-12-11,2024-12-11,"Unemployment Rate in Philadelphia County/City, PA",1990-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-27 10:24:02-06:00,25,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
CASAND5URN,CASAND5URN,2024-12-11,2024-12-11,"Unemployment Rate in San Diego County, CA",1990-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-27 10:20:03-06:00,25,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
CACCLAIMS,CACCLAIMS,2024-12-11,2024-12-11,Continued Claims (Insured Unemployment) in California,1986-02-01,2024-11-23,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2024-12-06 07:38:03-06:00,26,"Continued claims, also referred to as insured unemployment, is the number of people who have already filed an initial claim and who have experienced a week of unemployment and then filed a continued claim to claim benefits for that week of unemployment. Continued claims data are based on the week of unemployment, not the week when the initial claim was filed."
LMJVTTUVUSM647S,LMJVTTUVUSM647S,2024-12-11,2024-12-11,Infra-Annual Registered Unemployment and Job Vacancies: Total Economy: Unfilled Vacancies for United States,2000-12-01,2024-01-01,Monthly,M,Persons,Persons,Seasonally Adjusted,SA,2024-04-10 11:07:02-05:00,47,"OECD Data Filters:  REF_AREA: USA MEASURE: VAC_U UNIT_MEASURE: PS TRANSFORMATION: _Z ADJUSTMENT: Y SECTOR: S1 FREQ: M  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
LAUST150000000000003A,LAUST150000000000003A,2024-12-11,2024-12-11,Unemployment Rate in Hawaii,1976-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-03-01 10:26:03-06:00,5,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
LAUST180000000000003A,LAUST180000000000003A,2024-12-11,2024-12-11,Unemployment Rate in Indiana,1976-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-03-01 10:17:09-06:00,3,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
LRUNTTTTMXQ156S,LRUNTTTTMXQ156S,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Mexico,1987-01-01,2024-04-01,Quarterly,Q,Percent,%,Seasonally Adjusted,SA,2024-09-16 13:44:03-05:00,12,"OECD Data Filters:  REF_AREA: MEX MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: Y SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: Q  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
LASMT261982000000003,LASMT261982000000003,2024-12-11,2024-12-11,"Unemployment Rate in Detroit-Warren-Dearborn, MI (MSA)",1990-01-01,2024-10-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-11-27 10:28:03-06:00,8,
HIURN,HIURN,2024-12-11,2024-12-11,Unemployment Rate in Hawaii,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:50:15-06:00,8,
LAUMT261982000000003A,LAUMT261982000000003A,2024-12-11,2024-12-11,"Unemployment Rate in Detroit-Warren-Dearborn, MI (MSA)",1990-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-03-01 10:17:04-06:00,6,
LRUNTTTTDEQ156S,LRUNTTTTDEQ156S,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Germany,1962-01-01,2024-04-01,Quarterly,Q,Percent,%,Seasonally Adjusted,SA,2024-10-15 13:55:02-05:00,25,"OECD Data Filters:  REF_AREA: DEU MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: Y SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: Q  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
DENV708URN,DENV708URN,2024-12-11,2024-12-11,"Unemployment Rate in Denver-Aurora-Lakewood, CO (MSA)",1990-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-27 10:09:02-06:00,25,
TAMP312URN,TAMP312URN,2024-12-11,2024-12-11,"Unemployment Rate in Tampa-St. Petersburg-Clearwater, FL (MSA)",1990-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-27 10:08:04-06:00,24,
NDUR,NDUR,2024-12-11,2024-12-11,Unemployment Rate in North Dakota,1976-01-01,2024-10-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-11-20 10:50:12-06:00,24,
LAURN,LAURN,2024-12-11,2024-12-11,Unemployment Rate in Louisiana,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:50:18-06:00,4,
INURN,INURN,2024-12-11,2024-12-11,Unemployment Rate in Indiana,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:50:19-06:00,4,
DETR826UR,DETR826UR,2024-12-11,2024-12-11,"Unemployment Rate in Detroit-Warren-Dearborn, MI (MSA)",1990-01-01,2024-10-01,Monthly,M,Percent,%,Smoothed Seasonally Adjusted,SSA,2024-11-27 13:33:17-06:00,3,
LRUNTTTTMXQ156N,LRUNTTTTMXQ156N,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Mexico,1987-01-01,2024-04-01,Quarterly,Q,Percent,%,Not Seasonally Adjusted,NSA,2024-09-16 13:44:05-05:00,3,"OECD Data Filters:  REF_AREA: MEX MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: N SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: Q  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
LRUNTTTTMXA156S,LRUNTTTTMXA156S,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Mexico,1987-01-01,2023-01-01,Annual,A,Percent,%,Seasonally Adjusted,SA,2024-09-16 13:52:02-05:00,3,"OECD Data Filters:  REF_AREA: MEX MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: Y SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: A  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
LRUNTTTTMXA156N,LRUNTTTTMXA156N,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Mexico,1987-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-04-10 11:20:05-05:00,3,"OECD Data Filters:  REF_AREA: MEX MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: N SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: A  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
LNU03023653,LNU03023653,2024-12-11,2024-12-11,Unemployment Level - Job Losers on Layoff,1967-01-01,2024-11-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-12-06 07:46:49-06:00,3,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU03023653
LRHUTTTTESM156S,LRHUTTTTESM156S,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Monthly Unemployment Rate Total: 15 Years or over for Spain,1986-04-01,2024-09-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-11-15 13:51:03-06:00,22,"OECD Data Filters:  REF_AREA: ESP MEASURE: UNE_LF_M UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: Y SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: M  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
LRUNTTTTMXM156N,LRUNTTTTMXM156N,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Mexico,1987-01-01,2009-12-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-04-10 11:16:17-05:00,1,"OECD Data Filters:  REF_AREA: MEX MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: N SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: M  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
LAUST380000000000003A,LAUST380000000000003A,2024-12-11,2024-12-11,Unemployment Rate in North Dakota,1976-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-03-01 10:17:11-06:00,6,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
LAUCN421010000000003A,LAUCN421010000000003A,2024-12-11,2024-12-11,"Unemployment Rate in Philadelphia County/City, PA",1990-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-05-01 10:38:11-05:00,3,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
LAUCN060730000000003A,LAUCN060730000000003A,2024-12-11,2024-12-11,"Unemployment Rate in San Diego County, CA",1990-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-05-01 10:29:03-05:00,2,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
LMJVTTUVUSQ647S,LMJVTTUVUSQ647S,2024-12-11,2024-12-11,Infra-Annual Registered Unemployment and Job Vacancies: Total Economy: Unfilled Vacancies for United States,2001-01-01,2023-10-01,Quarterly,Q,Persons,Persons,Seasonally Adjusted,SA,2024-04-10 11:07:04-05:00,24,"OECD Data Filters:  REF_AREA: USA MEASURE: VAC_U UNIT_MEASURE: PS TRANSFORMATION: _Z ADJUSTMENT: Y SECTOR: S1 FREQ: Q  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
LRHUTTTTESQ156S,LRHUTTTTESQ156S,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Monthly Unemployment Rate Total: 15 Years or over for Spain,1986-04-01,2024-07-01,Quarterly,Q,Percent,%,Seasonally Adjusted,SA,2024-11-15 13:47:03-06:00,6,"OECD Data Filters:  REF_AREA: ESP MEASURE: UNE_LF_M UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: Y SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: Q  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
NDURN,NDURN,2024-12-11,2024-12-11,Unemployment Rate in North Dakota,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:50:20-06:00,5,
LRUNTTTTDEA156S,LRUNTTTTDEA156S,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Germany,1962-01-01,2023-01-01,Annual,A,Percent,%,Seasonally Adjusted,SA,2024-07-15 13:54:04-05:00,4,"OECD Data Filters:  REF_AREA: DEU MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: Y SEX: _T AGE: Y_GE15 ACTIVITY: _Z FREQ: A  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
DENV708UR,DENV708UR,2024-12-11,2024-12-11,"Unemployment Rate in Denver-Aurora-Lakewood, CO (MSA)",1990-01-01,2024-10-01,Monthly,M,Percent,%,Smoothed Seasonally Adjusted,SSA,2024-11-27 13:33:10-06:00,4,
JACK212URN,JACK212URN,2024-12-11,2024-12-11,"Unemployment Rate in Jacksonville, FL (MSA)",1990-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-27 10:09:02-06:00,23,
LRUN64TTGRQ156S,LRUN64TTGRQ156S,2024-12-11,2024-12-11,Infra-Annual Labor Statistics: Unemployment Rate Total: From 15 to 64 Years for Greece,1998-01-01,2024-04-01,Quarterly,Q,Percent,%,Seasonally Adjusted,SA,2024-10-15 13:54:03-05:00,23,"OECD Data Filters:  REF_AREA: GRC MEASURE: UNE_LF UNIT_MEASURE: PT_LF_SUB TRANSFORMATION: _Z ADJUSTMENT: Y SEX: _T AGE: Y15T64 ACTIVITY: _Z FREQ: Q  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
